Date,ID,Tramming_Actual_t,Tramming_Actual_gpt,Tramming_Actual_kgs,Tramming_Budget_t,Tramming_Budget_gpt,Tramming_Budget_kgs
2025-08-13,6L_W8 STOPE,7.5,2.96,0.0222,105.0,2.7803738317757007,0.2919392523364486
2025-08-14,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-14,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-14,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-14,4L_W26 STOPE,264.0,1.92,0.50688,70.0,1.9462616822429906,0.13623831775700931
2025-08-14,5L_W11 STOPE,,1.1,0.0,70.0,1.7476635514018692,0.12233644859813084
2025-08-14,5L_W8 STOPE,153.0,3.37,0.51561,105.0,1.8271028037383175,0.19184579439252333
2025-08-14,6L_E1 STOPE,7.5,3.15,0.023625,35.0,3.137850467289719,0.10982476635514017
2025-08-14,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-14,6L_W13 STOPE,101.0,0.77,0.07776999999999999,35.0,1.9859813084112148,0.06950934579439251
2025-08-14,6L_W15_STOPE,,,0.0,70.0,1.7476635514018692,0.12233644859813084
2025-08-14,6L_W18_STOPE,,,0.0,70.0,2.7803738317757007,0.19462616822429904
2025-08-14,6L_W2 STOPE,242.0,2.04,0.49368,140.0,2.542056074766355,0.3558878504672897
2025-08-14,6L_W3 STOPE,96.0,4.54,0.43584,105.0,2.3831775700934577,0.25023364485981303
2025-08-14,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-14,6L_W8 STOPE,41.0,1.37,0.056170000000000005,105.0,2.7803738317757007,0.2919392523364486
2025-08-15,3L_W23A STOPE,,,0.0,0.0,1.9859813084112148,0.0
2025-08-15,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-15,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-15,4L_W26 STOPE,264.0,0.38,0.10032,70.0,1.9462616822429906,0.13623831775700931
2025-08-15,5L_W11 STOPE,56.0,0.28,0.015680000000000003,70.0,1.7476635514018692,0.12233644859813084
2025-08-15,5L_W8 STOPE,122.0,2.5,0.305,105.0,1.8271028037383175,0.19184579439252333
2025-08-15,6L_E1 STOPE,,7.0,0.0,35.0,3.137850467289719,0.10982476635514017
2025-08-15,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-15,6L_W13 STOPE,96.0,2.91,0.27936,35.0,1.9859813084112148,0.06950934579439251
2025-08-15,6L_W15_STOPE,16.5,1.34,0.022110000000000005,70.0,1.7476635514018692,0.12233644859813084
2025-08-15,6L_W18_STOPE,,,0.0,70.0,2.7803738317757007,0.19462616822429904
2025-08-15,6L_W2 STOPE,117.0,6.1,0.7136999999999999,140.0,2.542056074766355,0.3558878504672897
2025-08-15,6L_W3 STOPE,31.5,5.84,0.18396,105.0,2.3831775700934577,0.25023364485981303
2025-08-15,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-15,6L_W8 STOPE,22.5,0.6,0.0135,105.0,2.7803738317757007,0.2919392523364486
2025-08-16,3L_W23A STOPE,,,0.0,0.0,1.9859813084112148,0.0
2025-08-16,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-16,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-16,4L_W26 STOPE,264.0,1.83,0.48312,70.0,1.9462616822429906,0.13623831775700931
2025-08-16,5L_W11 STOPE,44.0,1.62,0.07128,70.0,1.7476635514018692,0.12233644859813084
2025-08-16,5L_W8 STOPE,116.0,3.78,0.43848,105.0,1.8271028037383175,0.19184579439252333
2025-08-16,6L_E1 STOPE,27.0,5.3,0.1431,35.0,3.137850467289719,0.10982476635514017
2025-08-16,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-16,6L_W13 STOPE,90.0,6.19,0.5571,35.0,1.9859813084112148,0.06950934579439251
2025-08-16,6L_W15_STOPE,21.0,0.47,0.009869999999999999,70.0,1.7476635514018692,0.12233644859813084
2025-08-16,6L_W18_STOPE,36.0,0.39,0.01404,70.0,2.7803738317757007,0.19462616822429904
2025-08-16,6L_W2 STOPE,207.0,6.04,1.25028,140.0,2.542056074766355,0.3558878504672897
2025-08-16,6L_W3 STOPE,223.5,1.52,0.33972,105.0,2.3831775700934577,0.25023364485981303
2025-08-16,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-16,6L_W8 STOPE,,,0.0,105.0,2.7803738317757007,0.2919392523364486
2025-08-17,3L_W23A STOPE,,,0.0,0.0,1.9859813084112148,0.0
2025-08-17,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-17,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-17,4L_W26 STOPE,258.0,4.4,1.1352,70.0,1.9462616822429906,0.13623831775700931
